model,method,amount,val_acc,params,flops,latency
SimpleCNN_6x2,unstructured,0.3,0.9874109263657957,5935275,175822336.0,0.0019644355773925782
SimpleCNN_6x2,unstructured,0.5,0.9881235154394299,5935275,175822336.0,0.002013545036315918
SimpleCNN_6x2,unstructured,0.7,0.9853523357086302,5935275,175822336.0,0.0021297478675842284
SimpleCNN_6x2,structured,0.3,0.9867775138558986,5935275,175822336.0,0.0018773078918457031
SimpleCNN_6x2,structured,0.5,0.9840855106888361,5935275,175822336.0,0.0018303680419921875
SimpleCNN_6x2,structured,0.7,0.9760886777513856,5935275,175822336.0,0.0018081068992614746
EnhancedLeNet5,unstructured,0.3,0.9705463182897862,1113771,16820992.0,0.0008591580390930176
EnhancedLeNet5,unstructured,0.5,0.9690419635787807,1113771,16820992.0,0.0010895776748657228
EnhancedLeNet5,unstructured,0.7,0.9653998416468725,1113771,16820992.0,0.0009751653671264648
EnhancedLeNet5,structured,0.3,0.963895486935867,1113771,16820992.0,0.0007811713218688964
EnhancedLeNet5,structured,0.5,0.9553444180522566,1113771,16820992.0,0.0008257889747619629
EnhancedLeNet5,structured,0.7,0.9471100554235946,1113771,16820992.0,0.0007537841796875
