Model,Pipeline,Val. Acc.,Size (MB),Latency (ms)
SimpleCNN_6x2,P(u0.3) + KD + Q(Static),98.76%,5.71,2.50
SimpleCNN_6x2,P(s0.3) + KD + Q(Static),98.70%,2.81,2.12
SimpleCNN_6x2,P(u0.5) + KD + Q(Static),98.61%,5.71,2.52
SimpleCNN_6x2,P(u0.7) + KD + Q(Static),98.54%,5.71,2.51
SimpleCNN_6x2,P(s0.5) + KD + Q(Static),98.38%,1.45,1.48
SimpleCNN_6x2,P(s0.7) + KD + Q(Static),97.89%,0.54,1.48
EnhancedLeNet5,P(u0.7) + KD + Q(Static),96.23%,1.08,1.01
EnhancedLeNet5,P(u0.5) + KD + Q(Static),96.12%,1.08,1.01
EnhancedLeNet5,P(u0.3) + KD + Q(Static),96.03%,1.08,1.00
EnhancedLeNet5,P(s0.3) + KD + Q(Static),95.85%,0.53,0.98
EnhancedLeNet5,P(s0.5) + KD + Q(Static),95.16%,0.28,0.98
ResNet50Custom,P(u0.3) + KD + Q(Dynamic),94.73%,90.08,80.23
ResNet50Custom,P(u0.5) + KD + Q(Dynamic),94.66%,90.08,51.83
EnhancedLeNet5,P(s0.7) + KD + Q(Static),94.19%,0.11,0.94
ResNet50Custom,P(s0.5) + KD + Q(Dynamic),94.17%,22.73,32.42
ResNet50Custom,P(s0.3) + KD + Q(Dynamic),94.16%,44.19,63.09
ResNet50Custom,P(u0.7) + KD + Q(Dynamic),94.04%,90.08,44.24
ResNet50Custom,P(s0.7) + KD + Q(Dynamic),93.33%,8.25,20.85
EfficientNetB0Custom,P(u0.7) + KD + Q(Dynamic),92.76%,15.64,24.68
EfficientNetB0Custom,P(u0.5) + KD + Q(Dynamic),92.26%,15.64,25.46
EfficientNetB0Custom,P(u0.3) + KD + Q(Dynamic),92.20%,15.64,25.94
EfficientNetB0Custom,P(s0.3) + KD + Q(Dynamic),91.24%,7.93,20.42
EfficientNetB0Custom,P(s0.5) + KD + Q(Dynamic),88.23%,4.30,16.65
EfficientNetB0Custom,P(s0.7) + KD + Q(Dynamic),81.46%,1.76,15.17
